IDfg,Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR
1006535,1879,Charley Jones,BSN,29,83,355,384,112,71,22,10,9,85,62,29,,38,,,,,,,0.315,,,,,,,,,,,0.076,0.099,0.76,0.367,0.51,0.877,0.194,0.334,,,,,,,,,0.39,34.9,88,34.3,10.0,12.8,-5.1,52.3,4.9,,,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,0.0,,29 - 29,34.3,0.3,,,,,,,,0.198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,359,138,133,152,257,120,,,,,,,,,,,,,,,,,,0,,,,,,4.9
1005845,1879,Paul Hines,PRO,24,85,409,417,146,109,25,10,2,81,52,8,,16,,,,,,,0.357,,,,,,,,,,,0.019,0.038,0.5,0.369,0.482,0.851,0.125,0.368,,,,,,,,,0.381,35.0,93,35.2,4.0,13.9,-4.2,49.3,4.5,,,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,0.0,,24 - 24,35.2,0.3,,,,,,,,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,91,53,134,144,165,132,,,,,,,,,,,,,,,,,,0,,,,,,4.5
1014277,1879,George Wright,PRO,32,85,388,401,107,81,15,10,1,79,42,13,,20,,,,,,,0.276,,,,,,,,,,,0.032,0.05,0.65,0.299,0.374,0.673,0.098,0.289,,,,,,,,,0.303,9.9,65,10.1,17.0,13.4,5.2,46.1,4.4,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.2,0.0,,32 - 32,10.1,0.3,,,,,,,,0.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,154,69,109,111,130,104,,,,,,,,,,,,,,,,,,0,,,,,,4.4
1014027,1879,Ned Williamson,CHI,21,80,320,344,94,60,20,13,1,66,36,24,,31,,,,,,,0.294,,,,,,,,,,,0.07,0.09,0.77,0.343,0.447,0.79,0.153,0.323,,,,,,,,,0.354,21.8,69,19.1,13.0,11.5,2.3,46.1,4.3,,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3,0.0,,21 - 21,19.1,0.3,,,,,,,,0.163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,332,126,125,133,203,116,,,,,,,,,,,,,,,,,,0,,,,,,4.3
1006806,1879,King Kelly,CIN,21,77,345,353,120,86,20,12,2,78,47,8,,14,,,,,,,0.348,,,,,,,,,,,0.023,0.04,0.57,0.363,0.493,0.855,0.145,0.359,,,,,,,,,0.381,29.7,79,31.0,1.0,11.8,-0.1,44.0,4.0,,,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.0,,21 - 21,31.0,0.3,,,,,,,,0.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,108,55,132,147,192,129,,,,,,,,,,,,,,,,,,0,,,,,,4.0
1009840,1879,John O'Rourke,BSN,29,72,317,325,108,74,17,11,6,69,62,8,,32,,,,,,,0.341,,,,,,,,,,,0.025,0.098,0.25,0.357,0.521,0.877,0.18,0.366,,,,,,,,,0.389,29.3,74,28.7,5.0,10.9,-3.5,41.3,3.8,,,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,0.0,,29 - 29,28.7,0.3,,,,,,,,0.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,117,137,130,155,238,131,,,,,,,,,,,,,,,,,,0,,,,,,3.8
1013860,1879,Deacon White,CIN,31,78,333,339,110,87,16,6,1,55,52,6,,9,,,,,,,0.33,,,,,,,,,,,0.018000000000000002,0.027000000000000003,0.67,0.342,0.423,0.766,0.093,0.337,,,,,,,,,0.344,19.0,66,20.2,4.0,11.3,0.5,36.3,3.4,,,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,0.0,,31 - 31,20.2,0.3,,,,,,,,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,84,37,124,126,123,121,,,,,,,,,,,,,,,,,,0,,,,,,3.4
1009839,1879,Jim O'Rourke,PRO,28,81,362,375,126,97,19,9,1,69,46,13,,10,,,,,,,0.348,,,,,,,,,,,0.035,0.027000000000000003,1.3,0.371,0.459,0.829,0.11,0.356,,,,,,,,,0.372,29.1,81,29.4,-3.0,12.5,-3.1,36.0,3.3,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.1,0.0,,28 - 28,29.4,0.3,,,,,,,,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,165,37,135,137,146,128,,,,,,,,,,,,,,,,,,0,,,,,,3.3
1004162,1879,Silver Flint,CHI,23,79,324,330,92,63,22,6,1,46,41,6,,44,,,,,,,0.284,,,,,,,,,,,0.018000000000000002,0.133,0.14,0.297,0.398,0.695,0.114,0.326,,,,,,,,,0.311,10.1,56,7.5,13.0,11.0,2.3,34.1,3.2,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3,0.0,,23 - 23,7.5,0.3,,,,,,,,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,87,186,108,119,151,117,,,,,,,,,,,,,,,,,,0,,,,,,3.2
1012436,1879,Joe Start,PRO,36,66,317,324,101,83,11,5,2,70,37,7,,4,,,,,,,0.319,,,,,,,,,,,0.022000000000000002,0.012,1.75,0.333,0.404,0.737,0.085,0.318,,,,,,,,,0.332,15.2,60,15.4,4.0,10.8,-0.1,30.4,2.8,,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,0.0,,36 - 36,15.4,0.3,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,103,17,121,120,113,114,,,,,,,,,,,,,,,,,,0,,,,,,2.8
