IDfg,Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR
1000272,1881,Cap Anson,CHI,29,84,343,369,137,108,21,7,1,67,82.0,26,,4.0,,,,,,,0.399,,,,,,,,,,,0.07,0.011000000000000001,6.5,0.442,0.51,0.952,0.111,0.402,,,,,,,,,0.436,40.9,91,37.7,10.0,12.3,0.1,62.3,5.9,,,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,0.0,,29 - 29,37.7,2.1,,,,,,,,0.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,171,16.0,150,147,136,143.0,,,,,,,,,,,,,,,,,,0,,,,,,5.9
1000836,1881,Charlie Bennett,DET,26,76,299,317,90,58,18,7,7,44,64.0,18,,37.0,,,,,,,0.301,,,,,,,,,,,0.057,0.11699999999999999,0.49,0.341,0.478,0.819,0.177,0.325,,,,,,,,,0.37,19.3,62,18.4,13.0,10.5,2.1,45.9,4.4,,,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1,0.0,,26 - 26,18.4,1.8,,,,,,,,0.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,137,177.0,115,138,218,116.0,,,,,,,,,,,,,,,,,,0,,,,,,4.4
1003566,1881,Fred Dunlap,CLE,22,80,351,369,114,82,25,4,3,60,24.0,18,,24.0,,,,,,,0.325,,,,,,,,,,,0.049,0.065,0.75,0.358,0.444,0.802,0.12,0.343,,,,,,,,,0.367,21.5,71,21.7,4.0,12.3,1.5,41.6,3.9,,,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,0.0,,22 - 22,21.7,2.1,,,,,,,,0.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,118,99.0,121,128,147,122.0,,,,,,,,,,,,,,,,,,0,,,,,,3.9
1014027,1881,Ned Williamson,CHI,23,82,343,362,92,73,12,6,1,56,48.0,19,,19.0,,,,,,,0.268,,,,,,,,,,,0.052000000000000005,0.052000000000000005,1.0,0.307,0.347,0.654,0.079,0.282,,,,,,,,,0.303,3.5,52,0.4,17.0,12.0,2.5,34.0,3.3,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,0.0,,23 - 23,0.4,2.1,,,,,,,,0.10800000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,127,80.0,104,100,97,100.0,,,,,,,,,,,,,,,,,,0,,,,,,3.3
1006806,1881,King Kelly,CHI,23,82,353,369,114,82,27,3,2,84,55.0,16,,14.0,,,,,,,0.323,,,,,,,,,,,0.043,0.038,1.14,0.352,0.433,0.786,0.11,0.332,,,,,,,,,0.36,19.5,69,16.4,3.0,12.3,-3.5,30.3,2.8,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5,0.0,,23 - 23,16.4,2.1,,,,,,,,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,105,58.0,119,125,136,118.0,,,,,,,,,,,,,,,,,,0,,,,,,2.8
1004879,1881,George Gore,CHI,24,73,309,336,92,64,18,9,1,86,44.0,27,,23.0,,,,,,,0.298,,,,,,,,,,,0.08,0.068,1.17,0.354,0.424,0.778,0.126,0.319,,,,,,,,,0.357,17.1,62,14.3,4.0,11.2,-3.5,27.9,2.6,,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.0,,24 - 24,14.3,1.9,,,,,,,,0.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,195,104.0,120,122,155,113.0,,,,,,,,,,,,,,,,,,0,,,,,,2.6
1012436,1881,Joe Start,PRO,38,79,348,357,114,96,12,6,0,56,29.0,9,,7.0,,,,,,,0.328,,,,,,,,,,,0.025,0.02,1.29,0.345,0.397,0.741,0.069,0.334,,,,,,,,,0.34,13.7,62,13.6,0.0,11.9,0.0,27.5,2.6,,,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,38 - 38,13.6,2.1,,,,,,,,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,61,30.0,117,114,85,119.0,,,,,,,,,,,,,,,,,,0,,,,,,2.6
1014355,1881,Tom York,PRO,30,85,316,345,96,66,23,5,2,57,47.0,29,,26.0,,,,,,,0.304,,,,,,,,,,,0.084,0.075,1.12,0.362,0.427,0.79,0.123,0.326,,,,,,,,,0.363,19.2,66,19.1,0.0,11.5,-5.2,27.3,2.5,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.2,0.0,,30 - 30,19.1,2.0,,,,,,,,0.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,204,114.0,123,123,151,116.0,,,,,,,,,,,,,,,,,,0,,,,,,2.5
1010909,1881,Hardy Richardson,BUF,26,83,344,356,100,71,18,9,2,62,53.0,12,,27.0,,,,,,,0.291,,,,,,,,,,,0.034,0.076,0.44,0.315,0.413,0.727,0.122,0.311,,,,,,,,,0.331,11.0,59,8.6,7.0,11.8,-3.6,25.9,2.5,,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,0.0,,26 - 26,8.6,2.1,,,,,,,,0.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,82,115.0,107,119,150,110.0,,,,,,,,,,,,,,,,,,0,,,,,,2.5
1009214,1881,John Morrill,BSN,26,81,311,323,90,67,19,3,1,47,39.0,12,,30.0,,,,,,,0.289,,,,,,,,,,,0.037000000000000005,0.09300000000000001,0.4,0.316,0.379,0.695,0.09,0.318,,,,,,,,,0.319,7.2,51,6.3,7.0,10.7,0.1,26.1,2.5,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,0.0,,26 - 26,6.3,1.9,,,,,,,,0.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,90,141.0,107,110,111,113.0,,,,,,,,,,,,,,,,,,0,,,,,,2.5
