#,Name,MLBAMID,RazzballID,FanGraphsID,NFBCID,FantraxID,Team,STD_POS,YAHOO_POS,Last,First,Lastv2,Firstv2,YahooName
1349,Kyle Leahy,681517,681517,24763,11822,*04q08*,STL,RP,RP,Leahy,Kyle,Leahy,Kyle,Kyle Leahy
1350,Antoine Kelly,681520,681520,sa3011135,10991,*04px1*,COL,RP,RP,Kelly,Antoine,Kelly,Antoine,
1351,Bryan Lavastida,681526,681526,24765,11329,*04pyv*,HOU,C,C,Lavastida,Bryan,Lavastida,Bryan,Bryan Lavastida
1352,James Outman,681546,681546,24770,11399,*04psu*,MIN,OF,OF,Outman,James,Outman,James,James Outman
1353,David Villar,681584,681584,24782,11510,*04pvh*,NYM,3B,3B,Villar,David,Villar,David,David Villar
1354,Andy Pages,681624,681624,24816,11682,*04ru5*,LAD,OF,OF,Pages,Andy,Pages,Andy,Andy Pages
1355,Ryan Fernandez,681676,681676,24862,12004,*04q5s*,STL,RP,RP,Fernandez,Ryan,Fernandez,Ryan,Ryan Fernandez
1356,Heriberto Hernandez,681715,681715,24878,12403,*04up9*,MIA,OF,OF,Hernandez,Heriberto,Hernández,Heriberto,Heriberto Hernández
1357,Ethan Roberts,681799,681799,24930,11361,*04pql*,CHC,RP,RP,Roberts,Ethan,Roberts,Ethan,Ethan Roberts
1358,Andrew Wantz,681806,681806,24933,11233,*04psq*,TB,RP,RP,Wantz,Andrew,Wantz,Andrew,Andrew Wantz
1359,David Fry,681807,681807,24934,11789,*04psr*,CLE,C/1B/ OF,C/1B/ OF,Fry,David,Fry,David,David Fry
1360,Chris Vallimont,681808,681808,24935,11365,,LAD,RP,RP,Vallimont,Chris,Vallimont,Chris,Chris Vallimont
1361,Austin Warren,681810,681810,24937,11246,*04prz*,NYM,RP,RP,Warren,Austin,Warren,Austin,Austin Warren
