IDfg,Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR
1000573,1873,Ross Barnes,BSN,23,60,322,340,137,98,29,8,2,125,62,18,,2,,,,,13.0,4.0,0.425,,,,,,,,,,,0.053,0.006,9.0,0.456,0.584,1.04,0.158,0.425,,,,,,,,,0.468,54.6,125,51.2,6.0,15.1,1.3,76.0,4.8,,7.9,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,0.6,,23 - 23,51.8,1.8,,,,,,,,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,286,45,147,159,227,142,,,,,,,,,,,,,,,,,,0,,,,,,4.8
1014277,1873,George Wright,BSN,26,59,325,333,126,96,19,8,3,99,50,8,,2,,,,,3.0,5.0,0.388,,,,,,,,,,,0.024,0.006,4.0,0.402,0.523,0.925,0.135,0.384,,,,,,,,,0.416,36.6,106,33.2,10.0,14.8,3.6,61.3,4.1,,6.0,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.6,-2.2,,26 - 26,31.0,1.8,,,,,,,,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,130,46,130,143,194,129,,,,,,,,,,,,,,,,,,0,,,,,,4.1
1013860,1873,Deacon White,BSN,25,60,310,310,121,100,15,6,0,79,66,0,,2,,,,,6.0,2.0,0.39,,,,,,,,,,,0.0,0.006,0.0,0.39,0.477,0.868,0.087,0.393,,,,,,,,,0.396,28.0,92,24.8,-1.0,13.8,1.1,41.0,2.4,,7.0,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.6,,25 - 25,25.4,1.7,,,,,,,,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,0,49,126,130,125,132,,,,,,,,,,,,,,,,,,0,,,,,,2.4
1009839,1873,Jim O'Rourke,BSN,22,57,280,294,98,75,19,3,1,79,48,14,,1,,,,,4.0,2.0,0.35,,,,,,,,,,,0.048,0.003,14.0,0.381,0.45,0.831,0.1,0.349,,,,,,,,,0.382,22.5,83,19.5,1.0,13.1,-1.0,34.3,2.1,,5.8,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.1,,22 - 22,19.6,1.6,,,,,,,,0.054000000000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,257,26,123,123,144,117,,,,,,,,,,,,,,,,,,0,,,,,,2.1
1003705,1873,Dave Eggler,NYM,24,53,268,273,90,73,13,4,0,82,34,5,,2,,,,,4.0,1.0,0.336,,,,,,,,,,,0.018000000000000002,0.006999999999999999,2.5,0.348,0.414,0.762,0.078,0.338,,,,,,,,,0.35,12.4,69,12.3,6.0,12.1,-2.5,30.1,2.1,,6.4,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,0.7,,24 - 24,13.0,1.5,,,,,,,,0.026000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,99,56,112,113,113,113,,,,,,,,,,,,,,,,,,0,,,,,,2.1
1000272,1873,Cap Anson,PHN,21,52,254,259,101,90,9,2,0,53,36,5,,1,,,,,0.0,2.0,0.398,,,,,,,,,,,0.019,0.004,5.0,0.409,0.449,0.858,0.051,0.399,,,,,,,,,0.4,24.4,78,20.4,0.0,11.5,0.3,33.0,2.0,,4.0,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,-0.7,,21 - 21,19.8,1.4,,,,,,,,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,104,29,132,123,73,134,,,,,,,,,,,,,,,,,,0,,,,,,2.0
1014355,1873,Tom York,BAL,22,57,277,280,84,65,10,7,2,70,49,3,,3,,,,,3.0,1.0,0.303,,,,,,,,,,,0.011000000000000001,0.011000000000000001,1.0,0.311,0.412,0.722,0.108,0.301,,,,,,,,,0.324,5.6,64,3.0,9.0,12.5,-3.5,22.9,1.7,,6.9,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,0.4,,22 - 22,3.4,1.5,,,,,,,,0.028999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,58,82,100,112,156,101,,,,,,,,,,,,,,,,,,0,,,,,,1.7
1008956,1873,Everett Mills,BAL,28,54,263,265,87,59,19,9,0,64,57,2,,1,,,,,1.0,0.0,0.331,,,,,,,,,,,0.008,0.004,2.0,0.336,0.471,0.807,0.141,0.332,,,,,,,,,0.359,14.3,69,11.8,0.0,11.8,0.0,25.7,1.6,,6.3,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.7,,28 - 28,12.6,1.4,,,,,,,,0.011000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,41,29,109,129,202,111,,,,,,,,,,,,,,,,,,0,,,,,,1.6
1010100,1873,Dickey Pearce,BKA,37,55,262,270,72,66,5,0,1,42,26,8,,2,,,,,2.0,0.0,0.275,,,,,,,,,,,0.03,0.006999999999999999,4.0,0.296,0.305,0.602,0.031,0.274,,,,,,,,,0.285,-4.9,51,-2.8,7.0,12.0,3.3,22.0,1.6,,4.3,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,1.0,,37 - 37,-1.8,1.5,,,,,,,,0.040999999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,160,56,96,83,44,92,,,,,,,,,,,,,,,,,,0,,,,,,1.6
1012300,1873,Al Spalding,BSN,22,60,322,325,106,85,18,2,1,83,60,3,,1,,,,,1.0,0.0,0.329,,,,,,,,,,,0.009000000000000001,0.003,3.0,0.335,0.407,0.742,0.078,0.328,,,,,,,,,0.339,11.4,79,8.1,-4.0,14.5,-0.5,20.7,1.1,,4.6,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.5,1.0,,22 - 22,9.1,1.8,,,,,,,,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,50,23,108,111,111,110,,,,,,,,,,,,,,,,,,0,,,,,,1.1
