IDfg,Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR
1008315,1958,Willie Mays,SFG,27,152,600,685,208,135,33,11,29,121,96,78,12.0,56,1,6.0,0,11,31,6,0.347,,,,,,,,,,,0.114,0.08199999999999999,1.39,0.419,0.583,1.002,0.237,0.344,,,,,,,,,0.431,59.7,137,53.1,15.0,20.0,-0.9,92.9,9.7,,7.2,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1,4.3,,27 - 27,57.4,1.4,,,,,,,,0.23800000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,127,70,124,138,156,121,,,,,,,,,,,,,,,,,,0,,,,,,9.7
1008082,1958,Mickey Mantle,NYY,26,150,519,654,158,94,21,1,42,127,97,129,13.0,120,2,2.0,2,11,18,3,0.304,,,,,,,,,,,0.19699999999999998,0.183,1.08,0.443,0.592,1.035,0.287,0.323,,,,,,,,,0.446,64.5,138,65.7,-5.0,19.1,-0.9,82.8,8.8,,4.9,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.9,2.9,,26 - 26,68.6,1.1,,,,,,,,0.445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,220,157,134,149,211,117,,,,,,,,,,,,,,,,,,0,,,,,,8.8
1000512,1958,Ernie Banks,CHC,27,154,617,682,193,112,23,11,47,119,129,52,12.0,87,4,8.0,1,14,4,4,0.313,,,,,,,,,,,0.076,0.128,0.6,0.366,0.614,0.98,0.301,0.297,,,,,,,,,0.416,51.5,128,43.2,10.0,19.9,9.3,83.4,8.7,,5.3,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.3,-0.4,,27 - 27,42.8,1.4,,,,,,,,0.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,85,109,108,146,199,105,,,,,,,,,,,,,,,,,,0,,,,,,8.7
1000001,1958,Hank Aaron,MIL,24,153,601,664,196,128,34,4,30,109,95,59,16.0,49,1,3.0,0,21,4,1,0.326,,,,,,,,,,,0.08900000000000001,0.07400000000000001,1.2,0.386,0.546,0.931,0.22,0.316,,,,,,,,,0.401,42.1,117,40.0,9.0,19.4,-5.8,64.8,6.8,,4.0,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,0.8,,24 - 24,40.9,1.4,,,,,,,,0.20800000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,99,63,114,130,145,112,,,,,,,,,,,,,,,,,,0,,,,,,6.8
1002404,1958,Rocky Colavito,CLE,24,143,489,578,148,78,26,3,41,80,113,84,6.0,89,2,3.0,0,16,0,2,0.303,,,,,,,,,,,0.145,0.154,0.94,0.405,0.62,1.024,0.317,0.296,,,,,,,,,0.439,54.0,119,53.2,-1.0,16.9,-6.8,62.8,6.6,,2.3,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.8,-0.4,,24 - 24,52.8,0.9,,,,,,,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,162,132,123,156,233,107,,,,,,,,,,,,,,,,,,0,,,,,,6.6
1000335,1958,Richie Ashburn,PHI,31,152,615,725,215,176,24,13,2,98,33,97,7.0,48,4,2.0,7,8,30,12,0.35,,,,,,,,,,,0.134,0.066,2.02,0.44,0.441,0.881,0.091,0.376,,,,,,,,,0.395,42.8,124,33.9,4.0,21.1,-0.9,61.5,6.5,,6.5,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,1.9,,31 - 31,35.8,1.5,,,,,,,,0.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,150,57,130,105,60,133,,,,,,,,,,,,,,,,,,0,,,,,,6.5
1006678,1958,Al Kaline,DET,23,146,543,607,170,113,34,7,16,84,85,54,6.0,47,2,5.0,3,18,7,4,0.313,,,,,,,,,,,0.08900000000000001,0.077,1.15,0.374,0.49,0.864,0.177,0.318,,,,,,,,,0.378,27.4,96,23.2,27.0,17.7,-6.6,62.4,6.4,,4.9,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4,0.2,,23 - 23,23.4,1.0,,,,,,,,0.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,99,66,113,123,130,115,,,,,,,,,,,,,,,,,,0,,,,,,6.4
1002107,1958,Bob Cerv,KCA,32,141,515,572,157,92,20,7,38,93,104,50,10.0,82,5,2.0,0,19,3,3,0.305,,,,,,,,,,,0.087,0.14300000000000002,0.61,0.371,0.592,0.963,0.287,0.3,,,,,,,,,0.413,41.5,106,37.8,11.0,16.7,-6.3,59.8,6.2,,4.5,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,-0.3,,32 - 32,37.5,0.9,,,,,,,,0.297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,98,122,112,149,211,109,,,,,,,,,,,,,,,,,,0,,,,,,6.2
1008236,1958,Eddie Mathews,MIL,26,149,546,649,137,87,18,1,31,97,77,85,5.0,85,2,8.0,8,9,5,0,0.251,,,,,,,,,,,0.131,0.131,1.0,0.349,0.458,0.807,0.207,0.242,,,,,,,,,0.356,18.2,91,16.2,16.0,18.9,1.8,55.7,5.8,,3.9,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8,1.4,,26 - 26,17.6,1.4,,,,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,147,112,103,109,137,85,,,,,,,,,,,,,,,,,,0,,,,,,5.8
1011303,1958,Pete Runnels,BOS,30,147,568,666,183,138,32,5,8,103,59,87,0.0,49,6,3.0,2,15,1,2,0.322,,,,,,,,,,,0.131,0.07400000000000001,1.78,0.416,0.438,0.854,0.116,0.34,,,,,,,,,0.386,34.2,109,27.8,4.0,19.4,0.8,53.0,5.6,,3.3,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,0.0,,30 - 30,27.7,1.1,,,,,,,,0.21600000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,146,63,126,110,86,123,,,,,,,,,,,,,,,,,,0,,,,,,5.6
